date,Room Number,Floor Cleaning Start Time,Floor Cleaning End Time,Deep Cleaning Start Time,Deep Cleaning End Time,Floor Cleaning Duration,Deep Cleaning Duration,Avg Occupants,T_Occupancy,T_time,Max Occupancy,Min Occupancy,Camera1,Camera2,Camera3,raw,num_of_duplicate_rows
2022-03-30,M1 Separation Room,09:39:59,09:40:07,0,0,0.13333333333333333,0,2,3,09:39:59,3,1,1,2,0.0,"[3, '09:39:59', 1, 2, 0.0]",2
2022-03-30,M1 Separation Room,09:39:59,09:40:07,0,0,0.13333333333333333,0,2,1,09:40:07,3,1,1,0,0.0,"[1, '09:40:07', 1, 0, 0.0]",2
2022-03-30,M1 Separation Room,09:40:27,09:40:31,0,0,0.06666666666666667,0,2,2,09:40:27,2,2,1,1,0.0,"[2, '09:40:27', 1, 1, 0.0]",2
2022-03-30,M1 Separation Room,09:40:27,09:40:31,0,0,0.06666666666666667,0,2,2,09:40:31,2,2,2,0,0.0,"[2, '09:40:31', 2, 0, 0.0]",2
2022-03-30,M1 Separation Room,09:40:34,09:40:38,0,0,0.06666666666666667,0,2,1,09:40:34,2,1,0,1,0.0,"[1, '09:40:34', 0, 1, 0.0]",3
2022-03-30,M1 Separation Room,09:40:34,09:40:38,0,0,0.06666666666666667,0,2,2,09:40:38,2,1,1,1,0.0,"[2, '09:40:38', 1, 1, 0.0]",3
2022-03-30,M1 Separation Room,09:40:34,09:40:38,0,0,0.06666666666666667,0,2,2,09:40:38,2,1,2,0,0.0,"[2, '09:40:38', 2, 0, 0.0]",3
2022-03-30,M1 Separation Room,09:40:43,09:40:46,0,0,0.05,0,2,1,09:40:43,2,1,0,1,0.0,"[1, '09:40:43', 0, 1, 0.0]",2
2022-03-30,M1 Separation Room,09:40:43,09:40:46,0,0,0.05,0,2,2,09:40:46,2,1,2,0,0.0,"[2, '09:40:46', 2, 0, 0.0]",2
2022-03-30,M1 Separation Room,09:40:49,09:40:51,0,0,0.03333333333333333,0,2,1,09:40:49,2,1,0,1,0.0,"[1, '09:40:49', 0, 1, 0.0]",2
